UID,app_name,rating,date,review,review_cleaned,likes,response_date,response,pred_gpt3.5instruct,pred_gpt3.5turbo,pred_gpt4,pred_gemini1.5flash,pred_gemini1.5pro,pred_llama3.1_8b,pred_llama3.3_70b
198842,pixels,5,"February 03, 2019",I have over 200 apps and only 18 end up on my homescreen. This is definitely going on my homescreen.,apps end homescreen definitely going homescreen,0,,,5,5,5,5,5,5,5
127901,amaha,5,"September 27, 2019",I liked it. Meditation is presented in a nice way. Hope more audios available,liked meditation presented nice way hope audio available,1,"September 30, 2019","Dear Monika, Thank you for your feedback. We are so glad to know that the different coping and relaxation techniques of our self-help app are helpful to you. We truly value your suggestions and will work on adding more audios in future updates. Kindly write to us at support@theinnerhour.com for any further concerns. Let's feel good!",4,4,4,4,4,4,4
56406,sevencups,5,"April 13, 2019",This app has really helped me! As a member it gives me someone to talk and as a listener it gives me a purpose.,app really helped member give someone talk listener give purpose,0,,,5,5,5,5,5,5,5
129266,amaha,5,"September 08, 2021",It gives you time for yourself and it helps alot and it calms you down,give time help alot calm,0,"September 09, 2021","Hello, Thank you for your invaluable feedback! We are glad to hear that you like our self-help app, which has been built by experts to improve your emotional wellness. We hope you continue using and benefiting from our app :) In case you have any other feedback, kindly write to us at support@theinnerhour.com. Let's feel good!",5,5,5,4,5,5,5
184342,minddoc,5,"July 21, 2019",it helps me reflect a lot on what's going on in my life and it helps me look back at moments that were bad bur aren't as anymore.,help reflect lot whats going life help look back moment bad bur arent anymore,0,,,4,4,5,4,5,4,5
153903,daylio,4,"July 14, 2019","Used this app for 194 days. Not real sure why either, just kept filling it out when I got the notification. It's a good app, it did what it says and offers statistics weekly. Probably more useful to someone who has something to track everyday.",used app day real sure either kept filling got notification good app say offer statistic weekly probably useful someone something track everyday,0,,,4,3,4,3,3,3,4
82957,iam,5,"November 25, 2021",it's actually helped me alot and I really love this app😅,actually helped alot really love app,0,,,5,5,5,5,5,5,5
113198,bearable,5,"July 23, 2020",Best app I've ever downloaded. Love that you can customise you're own things to track.,best app ive ever downloaded love customise youre thing track,0,,,5,5,5,5,5,5,5
130305,amaha,5,"July 23, 2022",This app is really helpful for mental peace,app really helpful mental peace,0,"July 25, 2022","Hello Noor, thank you for your invaluable feedback. We are so glad to know that you found the different coping and relaxation techniques of our self-help app helpful for mental peace. We hope you continue using and benefiting from our app. :) In case you have any questions, please contact us at support@amahahealth.com. Take care!",5,5,5,4,5,5,5
179350,gratitude,5,"September 28, 2019","Really like this gratitude app! Just looked back on all the people and things that I am grateful for, helps to keep me positive!!",really like gratitude app looked back people thing grateful help keep positive,0,,,5,5,5,5,5,5,5
173768,remente,5,"March 20, 2021","This app is really motivating me to start a healthy morning routine, learn how to be less stressed during my day and how to unwind and get a long day out of my head.",app really motivating start healthy morning routine learn le stressed day unwind get long day head,9,,,5,5,5,5,5,5,5
124411,stoppanic,5,"February 03, 2017","It really helps me, especially the relaxing audios really calm me down in this stressful world. Totally recommend this app.",really help especially relaxing audio really calm stressful world totally recommend app,0,,,5,5,5,5,5,5,5
159709,daylio,1,"June 08, 2020",It's got good premise but the notifications don't work properly and the customer service were rubbiah,got good premise notification dont work properly customer service rubbiah,2,"June 10, 2020","Hey Nicholas, we are really sorry for the inconvenience caused. The notifications are more likely related to the device settings, there is not much we can do. We hope you will be able to fix it based on your device type, and you will give Daylio a second change in the future. Thanks!",2,2,2,2,2,3,2
180954,gratitude,5,"November 25, 2018",This app is user friendly and easy to maintain. I love it!,app user friendly easy maintain love,1,,,5,5,5,5,5,5,5
48731,headspace,1,"September 09, 2020","There is no point in me using this anymore if you guys are going to lock the SINGLE soundscape I use to destress and fall asleep! Unlock the Cabin Downpour again please, the 500 minute version is all I use",point using anymore guy going lock single soundscape use destress fall asleep unlock cabin downpour please minute version use,1,,,1,2,1,1,1,5,1
